Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,MCC
1,772,0.98836,0.9738,0.96727,0.91878,0.94966,0.9248,0.82874
2,322,0.98168,0.9795,0.92939,0.9209,0.96845,0.94728,0.81218
3,722,0.9776,0.97858,0.96698,0.93774,0.95453,0.97297,0.80188
4,301,0.9864,0.97289,0.9541,0.92968,0.96688,0.96864,0.80968
5,661,0.97921,0.97881,0.93985,0.92774,0.94869,0.94886,0.80338
6,429,0.97563,0.97973,0.96369,0.92556,0.95256,0.93923,0.79579
7,260,0.98161,0.98064,0.92026,0.92808,0.96679,0.94187,0.79554
8,786,0.98424,0.98067,0.96328,0.94111,0.943,0.95191,0.79364
9,797,0.97646,0.99407,0.95057,0.93059,0.94375,0.94272,0.794
10,724,0.97482,0.98032,0.93508,0.92926,0.95096,0.93946,0.78978
Mean,-,0.9806,0.9799,0.94905,0.92894,0.95453,0.94777,0.80246
Std,-,0.004660409,0.005691859,0.016974717,0.006752715,0.009546343,0.014216913,0.011742372
