Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,MCC
1,772,0.995091,0.978717,0.973804,0.923956,0.954845,0.930522,0.832847
2,322,0.988461,0.984479,0.935654,0.926194,0.973823,0.953124,0.816265
3,722,0.984206,0.983473,0.973519,0.943075,0.959875,0.978967,0.805847
4,301,0.993059,0.977831,0.960528,0.934981,0.972272,0.974591,0.813846
5,661,0.98578,0.983805,0.946181,0.933003,0.953891,0.954729,0.807361
6,429,0.982239,0.984699,0.970195,0.930729,0.957933,0.945041,0.799829
7,260,0.988229,0.985597,0.926469,0.933295,0.972142,0.947782,0.799638
8,786,0.990967,0.985581,0.969848,0.946373,0.948156,0.957707,0.79761
9,797,0.983198,0.999178,0.957091,0.935925,0.948988,0.948494,0.79803
10,724,0.981456,0.985317,0.94141,0.934459,0.956283,0.945321,0.793726
Mean,-,0.987311,0.984952,0.955468,0.934137,0.959937,0.953595,0.806462
Std,-,0.004625,0.005741,0.017013,0.006744,0.009687,0.014394,0.011849
