Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,MCC
1,616,0.97448,0.96195,0.9196,0.91581,0.9566,0.92584,0.8077
2,497,0.95952,0.96391,0.9227,0.93493,0.93181,0.9287,0.78512
3,400,0.96428,0.97262,0.93538,0.92796,0.94023,0.93351,0.80247
4,341,0.97132,0.96691,0.93357,0.91397,0.93728,0.92957,0.78243
5,308,0.96423,0.96227,0.94816,0.92223,0.9559,0.92337,0.78766
6,349,0.96781,0.96466,0.94247,0.93147,0.95244,0.93251,0.79625
7,682,0.97335,0.96843,0.91852,0.9361,0.94347,0.94394,0.79779
8,298,0.96992,0.96735,0.95876,0.92282,0.94499,0.93877,0.79721
9,288,0.96781,0.96385,0.93673,0.91453,0.93038,0.93115,0.80417
10,355,0.96828,0.97306,0.92916,0.93551,0.94791,0.94169,0.79381
Mean,-,0.9681,0.9665,0.9345,0.92553,0.9441,0.93291,0.79546
Std,-,0.004537914352063798,0.003955517805687556,0.012868575203874659,0.008870799851197203,0.009318574581030194,0.0067212965845718925,0.00832797354302554
