Fold/Statistics,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,MCC,Recall@10,Recall@20,Recall@50
Fold 1,549.0000,0.9605,0.9619,0.8854,0.9295,0.8340,0.8792,0.7749,0.9061,0.9404,0.9886
Fold 2,685.0000,0.9773,0.9803,0.9249,0.9536,0.8933,0.9224,0.8515,0.9242,0.9621,0.9921
Fold 3,637.0000,0.9771,0.9785,0.9209,0.9347,0.9051,0.9197,0.8423,0.8990,0.9639,0.9990
Fold 4,648.0000,0.9571,0.9656,0.8992,0.9244,0.8696,0.8961,0.7998,0.8657,0.9324,0.9938
Fold 5,701.0000,0.9656,0.9700,0.9130,0.9485,0.8735,0.9095,0.8287,0.9141,0.9444,0.9874
Fold 6,664.0000,0.9785,0.9806,0.9308,0.9542,0.9051,0.9290,0.8628,0.9146,0.9600,0.9926
Fold 7,689.0000,0.9777,0.9794,0.9249,0.9388,0.9091,0.9237,0.8502,0.9064,0.9622,0.9914
Fold 8,643.0000,0.9688,0.9712,0.9091,0.9481,0.8656,0.9050,0.8213,0.8985,0.9443,1.0000
Fold 9,850.0000,0.9724,0.9768,0.9190,0.9690,0.8656,0.9144,0.8428,0.9092,0.9395,0.9950
Fold 10,891.0000,0.9770,0.9790,0.9249,0.9654,0.8814,0.9215,0.8530,0.9110,0.9719,0.9921
Mean,695.7000,0.9712,0.9743,0.9152,0.9466,0.8802,0.9436,0.8327,0.9049,0.9521,0.9932
Std,96.5205,0.0074,0.0064,0.0133,0.0140,0.0223,0.0144,0.0260,0.0149,0.0127,0.0038
