Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,MCC
1,193,0.96118,0.95356,0.917,0.92373,0.93311,0.92427,0.79381
2,275,0.9567,0.9583,0.92519,0.9139,0.93603,0.92115,0.77783
3,377,0.95451,0.94908,0.93679,0.90534,0.93648,0.91011,0.79485
4,160,0.95496,0.95196,0.92693,0.91814,0.94935,0.93689,0.77882
5,464,0.95791,0.95977,0.91924,0.90539,0.94405,0.92208,0.78125
6,773,0.95952,0.95741,0.92284,0.91108,0.92742,0.9063,0.7848
7,695,0.96179,0.95208,0.91206,0.9035,0.92137,0.91887,0.79649
8,233,0.95393,0.95622,0.92742,0.91465,0.93744,0.91635,0.79322
9,407,0.95576,0.95413,0.90026,0.90119,0.92902,0.91777,0.79048
10,333,0.95775,0.95548,0.92433,0.91285,0.92193,0.92241,0.75919
Mean,-,0.9574,0.9548,0.92121,0.91098,0.93362,0.91962,0.78507
Std,-,0.0027480031133736405,0.003272964846876427,0.009924607129084103,0.007103851928511897,0.009014658433166869,0.008290505948908606,0.011421532491064599
